key,Title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,Abstract,notes,doi,keywords,pubmed_id,pmc_id;;;;;;;;;;;;;;;;;;;
"rayyan-358097750,Data-Driven Artificial Intelligence in Education: A Comprehensive Review,2024,,,Ieee Transactions on Learning Technologies,1939-1382,17,,12-31,""Ahmad, Kashif and Iqbal, Waleed and El-Hassan, Ammar and Qadir, Junaid and Benhaddou, Driss and Ayyash, Moussa and Al-Fuqaha, Ala"",,,,,""As education constitutes an essential development standard for individuals and societies, researchers have been exploring the use of artificial intelligence (AI) in this domain and have embedded the technology within it through a myriad of applications. In order to provide a detailed overview of the efforts, this article pays particular attention to these developments by highlighting key application areas of data-driven AI in education";" it also analyzes existing tools, research trends, as well as limitations of the role data-driven AI can play in education. In particular, this article reviews various applications of AI in education including student grading and assessments, student retention and drop-out predictions, sentiment analysis, intelligent tutoring, classroom monitoring, and recommender systems. This article also provides a detailed bibliometric analysis to highlight the salient research trends in AI in education over nine years (2014-2022) and further provides a detailed description of the tools and platforms developed as the outcome of research and development efforts in AI in education. For the bibliometric analysis, articles from several top venues are analyzed to explore research trends in the domain. The analysis shows sufficient contribution in the domain from different parts of the world with a clear lead for the United States. Moreover, students' grading and evaluation have been observed as the most widely explored application. Despite the significant success, we observed several aspects of education where AI alone has not contributed much. We believe such detailed analysis is expected to provide a baseline for future research in the domain."","""",10.1109/TLT.2023.3314610,Artificial intelligence Education Surveys Data mining Market research Systematics Recommender sys...";Keywords-Plus = LEARNING ANALYTICS SENTIMENT ANALYSIS BIG DATA SYSTEMS PREDICTION FRAMEWORK;Research-Areas = Computer Science Education & Educational Research;Web-of-Science-Categories = Computer Science;Interdisciplinary Applications Education & Educational Research;Author-Email = kashif.ahmad@mtu.ie w.iqbal@qmul.ac.uk a.elhassan@psut.edu.jo jqadir@qu.edu.qa dbe...;Affiliations = University of London Queen Mary University London Princess Sumaya University for T...,,;;;;;;;;;;;;
"rayyan-358097751,A novel recommendation of learning items based on deep neural networks and trust relationships,2024,,,International Journal of Learning Technology,""1477-8386 , EISSN = 1741-8119"",19,4,,""Aissaoui, Yamina and Berkani, Lamia and Azouaou, Faical"",,,,,""With the rapid development of information technologies, online learning platforms have become the most convenient way for users(teachers and learners) to share their learning content. However, due to the increasing number of educational content, it becomes very difficult for learners to find the most appropriate items. Most previous methods focused on users' ratings to establish learner's profiles, while recent work has added users' comments. In this work we are interested on the usage of social learning networks and we propose a novel learning items recommendation approach through sentiment analysis. Two different deep neural network models (DNNs) have been used, namely: bidirectional encoder representations from transformers (BERT) and recurrent neural networks (RNNs) with their modified version, long short-term memory (LSTM). These models are based on the learners' data, including their favourite content and comments. To support learners in selecting learning resources, a list of trusted learners was developed using similarity between learners. In order to evaluate the effectiveness of our proposal, experiments have been conducted on two different datasets. The results we have obtained demonstrated that our approach outperforms the baselines and related work."","""",10.1504/IJLT.2024.143969,social learning networks social recommender system trust sentiment analysis deep neural models BE...";Keywords-Plus = SYSTEMS;Research-Areas = Education & Educational Research;Web-of-Science-Categories = Education & Educational Research;Author-Email = y _aissaoui@esi.dz lberkani@usthb.dz f _azouaou@esi.dz;Affiliations = Ecole Nationale Superieure d'Informatique University Science & Technology Houari B...,,;;;;;;;;;;;;;;
"rayyan-358097752,Enriching the learner's model through the semantic analysis of learning traces,2023,,,E-Learning and Digital Media,,20,1,1-24,""Ait-Adda, Samia and Bousbia, Nabila and Balla, Amar"",,,,,""Our aim in this paper is to improve the efficiency of a learning process by using learners' traces to detect particular needs. The analysis of the semantic path of a learner or group of learners during the learning process can allow detecting those students who are in needs of help as well as identify the insufficiently mastered concepts. We examine the possibility of using a student's browsing path during a learning session, based on his navigation traces, to update the learner model. We assume that the domain concepts examined outside the learning platform but that are related to the course concepts are problematic to the learner. Knowing about these concepts may allow the course's author to adapt the course to the learner's needs regarding these concepts, as well as allow the tutor to help and assist the learner on these problematic concepts. We rely on Web data mining methods to filter, organize, and analyze the student's browsing path. More precisely, we use a domain ontology of the course and the similarities that exist between external documents (visited pages) and the domain concepts (the course keywords). This analysis process makes it possible to detect students' learning difficulties and to adapt the course based on the learner's model."","""",""10.1177/20427530221102993 , EISSN = 2042-7530"",Online learning adaptability learning trace semantic similarity domain ontology conceptual indexing";Keywords-Plus = SYSTEM ONTOLOGY STYLES;Research-Areas = Education & Educational Research;Web-of-Science-Categories = Education & Educational Research;Author-Email = s _ait _adda@esi.dz;Affiliations = Ecole Nationale Superieure d'Informatique Ecole Nationale Superieure d'Informatique;Number-of-Cited-References = 44;Times-Cited = 1;Usage-Count-Last-180-days = 0;Usage-Count-Since-2013 = 1;Journal-ISO = E-Learn. Digit. Media;Doc-Delivery-Number = 7K8NX;Web-of-Science-Index = Emerging Sources Citation Index (ESCI),,;;;;;;;
"rayyan-358097753,A novel Based-Approach Composed of Clustering Algorithm \& Cosine Similarity for Products Recommendation,2020,,,International Journal of Education and Information Technologies,2074-1316,14,,133-141,""Al-Hagery, Mohammed Abdullah"",,,,,""There are huge tons of transactions being accomplished online every day. This implies that e-commerce is facing the problem of data and information overloads. While customers are shopping via websites, they spend a lot of time to search for the required products based on their needs. This problem can easily be alleviated by having an accurate recommendation system based on a strong algorithm and confident measures in this regard. There are two main techniques for products recommendation"; content-based filtering and collaborative filtering. If one of these two techniques implemented on the e-commerce system, a lot of limitations and weak points will appear. This paper aims at generating an optimal list of product, which, in turn, generates an accurate and reliable list of items. The new approach is composed of three components;" clustering algorithm, user-based collaborative filtering, and the Cosine similarity measure. This approach implemented using a real dataset of past experienced users. The accuracy of the search results is a matter to users, it recommends the most appropriate products to users of the e-commerce website. This approach shows trustworthy results and achieved a high level of accuracy for recommending products to users."","""",10.46300/9109.2020.14.16,Recommendation Systems Machine Learning k-means clustering Algorithm Collaborative Filtering Simi...";Keywords-Plus = PERSONALIZED RECOMMENDATION;Research-Areas = Education & Educational Research;Web-of-Science-Categories = Education & Educational Research;Author-Email = hajry@qu.edu.sa;Affiliations = Qassim University,,;;;;;;;;;;;;
"rayyan-358097754,Matching Authors and Reviewers in Peer Assessment Based on Authors' Profiles,2022,,,Journal of Information Technology Education-Innovations in Practice,""2165-3151 , EISSN = 2165-316X"",21,,135-153,""Alkhalifa, Amal and Devlin, Marie and Alkhattabi, Mona"",,,,,""Aim/Purpose To encourage students' engagement in peer assessments and provide students with better-quality feedback, this paper describes a technique for author -re-viewer matching in peer assessment systems - a Balanced Allocation algorithm.Background Peer assessment concerns evaluating the work of colleagues and providing feed-back on their work. This process is widely applied as a learning method to in-volve students in the progress of their learning. However, as students have dif-ferent ability levels, the efficacy of the peer feedback differs from case to case. Thus, peer assessment may not provide satisfactory results for students. In or-der to mitigate this issue, this paper explains and evaluates an algorithm that matches the author to a set of reviewers. The technique matches authors and re-viewers based on how difficult the authors perceived the assignment to be, and the algorithm then matches the selected author to a group of reviewers who may meet the author's needs in regard to the selected assignment.Methodology This study used the Multiple Criteria Decision-Making methodology (MCDM) to determine a set of reviewers from among the many available options. The weighted sum method was used because the data that have been collected in user profiles are expressed in the same unit. This study produced an experi-mental result, examining the algorithm with a real collected dataset and mock- up dataset. In total, there were 240 students in the real dataset, and it contained self-assessment scores, peer scores, and instructor scores for the same assign-ment. The mock-up dataset created 1000 records for self-assessment scores. The algorithm was evaluated using focus group discussions with 29 program-ming students and interviews with seven programming instructors. Contribution This paper contributes to the field in the following two ways. First, an algorithm using a MCDM methodology was proposed to match authors and reviewers in order to facilitate the peer assessment process. In addition, the algorithm used self-assessment as an initial data source to match users, rather than randomly creating reviewer - author pairs.Findings The findings show the accurate results of the algorithm in matching three re-viewers for each author. Furthermore, the algorithm was evaluated based on students' and instructors' perspectives. The results are very promising, as they depict a high level of satisfaction for the Balanced Allocation algorithm. Recommendations for PractitionersRecommendations for Researchers We recommend instructors to consider using the Balanced Allocation algorithm to match students in peer assessments, and consequently to benefit from per-sonalizing peer assessment based on students' needs. Several MCDM methods could be expanded upon, such as the analytic hierar-chy process (AHP) if different attributes are collected, or the artificial neural network (ANN) if fuzzy data is available in the user profile. Each method is suitable for special cases depending on the data available for decision-making.Impact on Society Suitable pairing in peer assessment would increase the credibility of the peer as-sessment process and encourage students' engagement in peer assessments.Future Research The Balanced Allocation algorithm could be applied using a single group, and a peer assessment with random matching with another group may also be con-ducted, followed by performing a t-test to determine the impact of matching on students' performances in the peer assessment activity."","""",10.28945/5038,peer assessment peer review matching peers adaptive peer assessment";Keywords-Plus = STUDENTS SELF METAANALYSIS PERCEPTIONS PERFORMANCE EDUCATION FEEDBACK IMPACT;Research-Areas = Education & Educational Research;Web-of-Science-Categories = Education & Educational Research;Author-Email = akalkalifh@pnu.edu.sa marie.devlin@newcastle.ac.uk mkhattabi@imamu.edu.sa;Affiliations = Princess Nourah bint Abdulrahman University Newcastle University - UK Imam Mohamma...,,;;;;;;;;;;;;;;
"rayyan-358097755,Investigating Students' Performance and Motivation in Computer Programming through a Gamified Recommender System,2022,,,Computers in the Schools,""0738-0569 , EISSN = 1528-7033"",39,2,137-162,""Al-Malki, Laila and Meccawy, Maram"",,,,,""In this study, a personalized gamified recommender system was developed to help secondary-school students in Saudi Arabia learn computer programming. This recommender system supports those students by providing personalized recommendations to address their weaknesses and increase their motivation toward computer programming. A total of 60 female secondary-school students participated in this empirical study and were divided in to an intervention and comparison group. Due to the distance learning directives imposed by the COVID-19 pandemic, the whole study was conducted online. Data were collected through a post-test to measure student performance. In addition, a learning motivation questionnaire was distributed to all the study participants to measure their motivation toward learning programming. The Instructional Materials Motivation Survey questionnaire was distributed to the experimental group to measure their level of motivation after using the recommender system. The results showed that the personalized gamified recommender system positively affected the students' performance in the intervention group and enhanced their motivation toward learning computer programming."","""",""10.1080/07380569.2022.2071229 , EarlyAccessDate = APR 2022"",Games personalized learning distance education and online learning recommendation system secondar...";Research-Areas = Education & Educational Research;Web-of-Science-Categories = Education & Educational Research;Author-Email = lalmalki0033@stu.kau.edu.sa;Affiliations = King Abdulaziz University,,;;;;;;;;;;;;;;;
"rayyan-358097756,Primary School Teachers Adaptation towards 'Madrasati' E-learning Platform during Covid-19 Crisis,2021,,,International Journal of Educational Sciences,0975-1122,32,1,86-94,""Alsalim, Wafa Abdullah"",,,,,""This study aims to reveal the most notable obstacles that primary school teachers face in using the educational platform MADRASATI during the coronavirus (COVID-19) crisis. A descriptive survey with a questionnaire tool was employed, and there were 20 questions on the potential obstacles. The randomized sample comprised 390 teachers in state primary schools in Riyadh City (from 22,458 teachers in total). The results revealed that the main obstacles were ``difficulty in applying the educational platform to primary beginner students '' and ``overcrowded virtual classes [ which] do not allow the use of the platform MADRASATI. '' However, the teachers ranked responses such as ``the students' abstention from dealing with new types of education '' lowest, with only an average degree of agreement on whether this was a notable obstacle. The study also revealed statistically significant differences in the obstacles to using MADRASATI, with male teachers in the sample more likely to use the platform. However, other variables such as educational qualification and pedagogical experience were not associated with any statistically significant differences in obstacles the teachers faced."","""",10.31901/24566322.2021/32.1-3.1168,`Madrasati' Platform ICT Orientation Virtual Teaching Potential Obstacles in Online Teaching Prim...";Keywords-Plus = RECOMMENDATION SYSTEM ONLINE;Research-Areas = Education & Educational Research;Web-of-Science-Categories = Education & Educational Research;Author-Email = W2alsalem@gmail.com;Affiliations = King Saud University,,;;;;;;;;;;;;;;
"rayyan-358097757,Using Recommender Systems for Matching Students with Suitable Specialization: An Exploratory Study at King Abdulaziz University,2021,,,International Journal of Emerging Technologies in Learning,1863-0383,16,3,316-324,""Alshaikh, Khloud and Bahurmuz, Naela and Torabah, Ola and Alzahrani, Sara and Alshingiti, Zainab and Meccawy, Maram"",,,,,""In Saudi Arabia, all high school graduates who want join local universities have to go through a preparatory year before selecting their specific specialization/major. One of the most concerning issues for those fresh undergraduate college students is the selection of their specialization. College specialization selection is critical for them, as their academic and career future will be affected by this decision. An unsuitable specialization selection will have unfortunate consequences, not only on the students' future but also on the university's resources and budget. This paper suggests a solution to this problem by introducing a preliminary study of a recommender system (RS), which will recommend the appropriate specialization for the students based on various tests and grades during the preparatory year at King Abdulaziz University (KAU). The proposed system guides students through their specialization selection process based on their abilities. The collaborative filtering technique was used to build the RS and K-fold cross-validation was adopted to evaluate its accuracy and performance. The results showed the prediction of a specialization for each student with good accuracy ratio. These promising initial results provide a feasible solution to assess this issue further in future studies."","""",10.3991/ijet.v16i03.17829,Artificial Intelligence Education Machine learning Recommender Systems";Research-Areas = Education & Educational Research;Web-of-Science-Categories = Education & Educational Research;Author-Email = khassanalshaikh@stu.kau.edu.sa nomarbahurmuz@stu.kau.edu.sa otorabah@stu.kau.edu.s...;Affiliations = King Abdulaziz University King Abdulaziz University,,;;;;;;;;;;;;;;;
"rayyan-358097758,Recommender Systems for E-Learning,2021,,,,,,,221-247,""Amanullah, Mohamed Abdullah and Khedher, Abdessalem"",,,IGI GLOBAL,""701 E Chocolate Ave, Ste 200, Hersey, Pa 17033-1240 USA"",""The recommender systems are really important in this phase because the users want to be concentrated and to be focused on the domain in which they are interested. There should be minimal deviation in the topics suggested by the recommendation engines. Some of the famous e-learning platforms suggest recommendations based on tags such as highest rated, bestsellers, and so on in various domains. This ultimately makes the users deviate from the domain in which they have to master, and it results in not satisfying the user needs. So, to address this problem, effective recommendation engines will help provide recommendations according to the users by implementing the machine learning techniques such as collaborative filtering and content-based techniques. In this chapter, the authors discuss the recommendation systems, types of recommendation systems, and challenges."","""",10.4018/978-1-7998-5009-0.ch009,"""",,";;;;;;;;;;;;;;;;;;;
"rayyan-358097759,Learning beyond books: A hybrid model to learn real-world problems,2024,,,Computer Applications in Engineering Education,""1061-3773 , EISSN = 1099-0542"",32,6,,""Anwar, Zeeshan and Afzal, Hammad and Iltaf, Naima"",,,,,""There are several initiatives underway to improve the learning of software developers. These attempts include the integration of GitHub into software engineering classes, the creation of learning management systems, gamification approaches, and collaborative learning platforms. These initiatives have demonstrated promise in boosting students' collaborative growth and cooperation abilities, emphasizing their potential influence on improving learning experiences in practical areas. Books, on the other hand, remain basic in education, but their physical size limits their ability to explore all practical elements of a topic in depth. This limitation requires more research and application of theoretical information in real-world circumstances. In this work, we address the issue of limited space in traditional books that frequently prevents complete presentation of practical elements of a topic. To address this issue, we propose an application that improves the reading experience and accelerates the learning process. To anticipate themes, we use a combination of latent Dirichlet allocation (LDA) algorithms and a generative pre-trained transformer. First, utilizing LDA to find potential topic keywords inside the text and then leveraging generative pretrained transformer to predict topic names based on the LDA produced keywords. In addition, a query builder module produces and executes queries depending on the current page's topic, obtaining real-world issues from Stack Overflow. The system classifies results by query-title similarity, question-answer ranking, and content quality before displaying them to users. This bridges the gap between theoretical knowledge and practical application. We illustrate the usefulness of suggested tool using simulations, comparison with existing tools and user studies. The majority of users provide favorable comments and find it interesting and helpful for improving the learning process."","""",""10.1002/cae.22792 , EarlyAccessDate = AUG 2024"",community question answering content quality deep learning recommender system social learning top...";Research-Areas = Computer Science Education & Educational Research Engineering;Web-of-Science-Categories = Computer Science;Interdisciplinary Applications Education;Scientific Disciplines Engineering;Multidisciplinary;Author-Email = zeeshan.phdcse@students.mcs.edu.pk;Affiliations = National University of Sciences & Technology - Pakistan,,;;;;;;;;;;;;
