Tool Name,Main Category,Platform,URL,Description,Pricing,Rating,Notes
Tez Ara,Database,Web,https://tezara.org/search,YÖK Ulusal Tez Merkezi'ne girilen tezler üzerinden arama ve metaveri analizi yapmanızı sağlar.,Free,5,
YÖK Tez,Database,Web,https://tez.yok.gov.tr/UlusalTezMerkezi/giris.jsp,YÖK Ulusal Tez Merkezi'ne girilen tezler üzerinden arama ve metaveri analizi yapmanızı sağlar.,Free,,
ProQuest,Database,Web,https://www.proquest.com/,Uluslararası tezlere erişim sağlar.,Subscription,,Üniversite hesabı veya Millet Kütüphanesi üyeliği ile sınırsız erişim sağlanabilir. https://mk.gov.tr/veritabanlari/Veritabanlar%C4%B1%20Listesi/liste
Web of Science,Database,Web,https://www.webofknowledge.com/,SSCI vb. indeksli yayınlara erişim sağlar.,Subscription,,Üniversite hesabı veya Millet Kütüphanesi üyeliği ile sınırsız erişim sağlanabilir. https://mk.gov.tr/veritabanlari/Veritabanlar%C4%B1%20Listesi/liste
SCOPUS,Database,Web,https://www.scopus.com/,SSCI vb. indeksli yayınlara erişim sağlar.,Subscription,,Üniversite hesabı veya Millet Kütüphanesi üyeliği ile sınırsız erişim sağlanabilir. Millet Kütüphanesi
Google Scholar,Database,Web,https://scholar.google.com/,Google üzerinden akademik arama yapmayı sağlar,Free,,Üniversite hesabı veya Millet Kütüphanesi üyeliği ile sınırsız erişim sağlanabilir. Millet Kütüphanesi
Litmaps,Literature Review,"Web, Yapay Zekâ Aracı",https://app.litmaps.com/,Literatür görselleştirme ve ilişkileri görme,Free Trial,,
Research Rabbit,Literature Review,"Web, Yapay Zekâ Aracı",https://www.researchrabbit.ai/,Literatür görselleştirme ve ilişkileri görme,Free,5,Zotero ile bağlantı kurulabiliyor.
Kling AI,Video & Audio,"Web, Yapay Zekâ Aracı",https://klingai.com/,Yapay zekâ ile video üretimi.,Free Trial,,Ücretsiz sınırlı sayıda içerik üretme.
Heygen AI,Video & Audio,"Web, Yapay Zekâ Aracı",https://app.heygen.com/,Yapay zekâ ile video üretimi.,Free Trial,,Avatarla ders anlatım videoları hazırlanabilir.
Suno AI,Video & Audio,"Web, Yapay Zekâ Aracı",https://suno.com/,Yapay zekâ ile şarkı üretimi.,Free Trial,,Ücretsiz sınırlı sayıda içerik üretme.
Eleven Labs AI,Video & Audio,"Web, Yapay Zekâ Aracı",https://elevenlabs.io/,Yapay zekâ ile text to speech vb. ses üretimi.,Free Trial,,
Agent Ransack,Desktop Use,Windows,https://www.mythicsoft.com/filelocatorpro/download/,Bilgisayarda dosya arama programı,Free,,
